run_id,phase,created_at,purpose,status,model_name,prompt_tokens,cache_read_tokens,cache_write_tokens,cache_miss_tokens,duration_ms
baseline_4,优化前,2026-09-03 00:49:00.275473,wiki_page_modify,success,qwen3.7-plus,10561,512,0,10049,12953
baseline_4,优化前,2026-09-03 00:49:00.929595,wiki_page_modify,success,qwen3.7-plus,7689,512,0,7177,13607
baseline_4,优化前,2026-09-03 00:49:03.964554,wiki_page_modify,success,qwen3.7-plus,8521,1664,0,6857,16643
baseline_4,优化前,2026-09-03 00:49:04.831516,wiki_page_modify,success,qwen3.7-plus,11046,512,0,10534,17510
baseline_4,优化前,2026-09-03 00:49:05.870742,wiki_page_modify,success,qwen3.7-plus,13825,512,0,13313,18549
baseline_4,优化前,2026-09-03 00:49:06.476776,wiki_page_modify,success,qwen3.7-plus,10886,512,0,10374,19117
baseline_4,优化前,2026-09-03 00:49:06.553815,wiki_page_modify,success,qwen3.7-plus,7077,512,0,6565,19231
baseline_4,优化前,2026-09-03 00:49:07.219385,wiki_page_modify,success,qwen3.7-plus,13524,0,0,13524,19897
baseline_4,优化前,2026-09-03 00:49:09.914616,wiki_page_modify,success,qwen3.7-plus,11120,512,0,10608,22628
baseline_4,优化前,2026-09-03 00:49:12.528,wiki_page_modify,success,qwen3.7-plus,7450,1664,0,5786,8537
baseline_4,优化前,2026-09-03 00:49:14.704544,wiki_page_modify,success,qwen3.7-plus,14954,0,0,14954,27419
baseline_4,优化前,2026-09-03 00:49:16.473509,wiki_page_modify,success,qwen3.7-plus,6301,1664,0,4637,10559
baseline_4,优化前,2026-09-03 00:49:21.356692,wiki_page_modify,success,qwen3.7-plus,14247,1664,0,12583,20419
baseline_4,优化前,2026-09-03 00:49:21.920045,wiki_page_modify,success,qwen3.7-plus,9722,1664,0,8058,17083
baseline_4,优化前,2026-09-03 00:50:07.087056,wiki_page_modify,success,qwen3.7-plus,20489,1664,0,18825,66840
baseline_4,优化前,2026-09-03 00:50:35.275048,wiki_index_intro,success,qwen3.7-plus,341,0,0,341,2024
current_cold,优化后冷运行,2026-09-08 22:05:47.107182,wiki_candidate_slug,success,qwen3.7-plus,17879,0,0,17879,27985
current_cold,优化后冷运行,2026-09-08 22:06:00.093217,wiki_chunk_citation,success,qwen3.7-plus,8561,0,0,8561,12919
current_cold,优化后冷运行,2026-09-08 22:06:00.551982,wiki_chunk_citation,success,qwen3.7-plus,8008,0,0,8008,13379
current_cold,优化后冷运行,2026-09-08 22:06:01.325697,wiki_chunk_citation,success,qwen3.7-plus,7638,0,0,7638,14152
current_cold,优化后冷运行,2026-09-08 22:06:01.904494,wiki_chunk_citation,success,qwen3.7-plus,7479,0,0,7479,14732
current_cold,优化后冷运行,2026-09-08 22:06:09.521701,wiki_chunk_citation,success,qwen3.7-plus,7557,1152,0,6405,8962
current_cold,优化后冷运行,2026-09-08 22:06:10.304077,wiki_chunk_citation,success,qwen3.7-plus,7373,1152,0,6221,10204
current_cold,优化后冷运行,2026-09-08 22:06:12.937682,wiki_chunk_citation,success,qwen3.7-plus,8075,1152,0,6923,11500
current_cold,优化后冷运行,2026-09-08 22:06:14.685054,wiki_chunk_citation,success,qwen3.7-plus,7793,1152,0,6641,12675
current_cold,优化后冷运行,2026-09-08 22:06:19.671863,wiki_chunk_citation,success,qwen3.7-plus,7125,1152,0,5973,10043
current_cold,优化后冷运行,2026-09-08 22:06:31.71911,wiki_taxonomy_plan,success,qwen3.7-plus,1310,0,0,1310,11991
current_cold,优化后冷运行,2026-09-08 22:06:55.953124,wiki_page_modify,success,qwen3.7-plus,11307,0,0,11307,24072
current_cold,优化后冷运行,2026-09-08 22:07:19.129229,wiki_page_modify,success,qwen3.7-plus,14290,0,0,14290,23145
current_cold,优化后冷运行,2026-09-08 22:07:42.357248,wiki_page_modify,success,qwen3.7-plus,10966,2304,0,8662,23045
current_cold,优化后冷运行,2026-09-08 22:08:10.592097,wiki_page_modify,success,qwen3.7-plus,14526,2304,0,12222,28182
